"Date","Year","Month","Day","Solar Radiation (W/m^2)"
1980-01-01,1980,1,1,17.4895000457764
1980-01-02,1980,1,2,7.74700021743774
1980-01-03,1980,1,3,8.07369995117188
1980-01-04,1980,1,4,8.546799659729
1980-01-05,1980,1,5,9.93089962005615
1980-01-06,1980,1,6,14.4785003662109
1980-01-07,1980,1,7,15.1842002868652
1980-01-08,1980,1,8,15.2065000534058
1980-01-09,1980,1,9,10.2397003173828
1980-01-10,1980,1,10,6.95550012588501
1980-01-11,1980,1,11,12.1940002441406
1980-01-12,1980,1,12,9.45839977264404
1980-01-13,1980,1,13,8.79419994354248
1980-01-14,1980,1,14,12.332200050354
1980-01-15,1980,1,15,13.2857999801636
1980-01-16,1980,1,16,12.1653995513916
1980-01-17,1980,1,17,16.3108005523682
1980-01-18,1980,1,18,17.6779003143311
1980-01-19,1980,1,19,21.2346992492676
1980-01-20,1980,1,20,26.4353008270264
1980-01-21,1980,1,21,28.2625999450684
1980-01-22,1980,1,22,21.4806003570557
1980-01-23,1980,1,23,23.6924991607666
1980-01-24,1980,1,24,25.2919006347656
1980-01-25,1980,1,25,30.2821998596191
1980-01-26,1980,1,26,32.1890983581543
1980-01-27,1980,1,27,21.9736995697021
1980-01-28,1980,1,28,10.8087997436523
1980-01-29,1980,1,29,5.4903998374939
1980-01-30,1980,1,30,22.4934997558594
1980-01-31,1980,1,31,33.9912986755371
1980-02-01,1980,2,1,35.4496994018555
1980-02-02,1980,2,2,36.3302993774414
1980-02-03,1980,2,3,40.0340003967285
1980-02-04,1980,2,4,40.2424011230469
1980-02-05,1980,2,5,39.8223991394043
1980-02-06,1980,2,6,43.3036994934082
1980-02-07,1980,2,7,41.185001373291
1980-02-08,1980,2,8,35.8894996643066
1980-02-09,1980,2,9,45.6827011108398
1980-02-10,1980,2,10,49.9221992492676
1980-02-11,1980,2,11,50.513500213623
1980-02-12,1980,2,12,55.1533012390137
1980-02-13,1980,2,13,42.5368003845215
1980-02-14,1980,2,14,42.8031005859375
1980-02-15,1980,2,15,19.6571006774902
1980-02-16,1980,2,16,18.8483009338379
1980-02-17,1980,2,17,19.5816993713379
1980-02-18,1980,2,18,22.8945999145508
1980-02-19,1980,2,19,28.0865001678467
1980-02-20,1980,2,20,30.2476005554199
1980-02-21,1980,2,21,28.8101997375488
1980-02-22,1980,2,22,28.224100112915
1980-02-23,1980,2,23,36.6921005249023
1980-02-24,1980,2,24,72.3224029541016
1980-02-25,1980,2,25,71.6818008422852
1980-02-26,1980,2,26,72.5126037597656
1980-02-27,1980,2,27,55.8811988830566
1980-02-28,1980,2,28,63.6768989562988
1980-02-29,1980,2,29,75.7553024291992
1980-03-01,1980,3,1,80.1104965209961
1980-03-02,1980,3,2,55.6809005737305
1980-03-03,1980,3,3,64.2238998413086
1980-03-04,1980,3,4,62.1836013793945
1980-03-05,1980,3,5,60.9353981018066
1980-03-06,1980,3,6,51.3964996337891
1980-03-07,1980,3,7,41.2846984863281
1980-03-08,1980,3,8,58.6167984008789
1980-03-09,1980,3,9,101.434501647949
1980-03-10,1980,3,10,99.5417022705078
1980-03-11,1980,3,11,73.6925964355469
1980-03-12,1980,3,12,54.9841003417969
1980-03-13,1980,3,13,107.738700866699
1980-03-14,1980,3,14,82.3283996582031
1980-03-15,1980,3,15,73.7779006958008
1980-03-16,1980,3,16,109.427299499512
1980-03-17,1980,3,17,113.029403686523
1980-03-18,1980,3,18,112.648101806641
