"Date","Year","Month","Day","Solar Radiation (W/m^2)"
"1/1/1980",1980,1,1,12.68970013
"1/2/1980",1980,1,2,10.82339954
"1/3/1980",1980,1,3,11.73139954
"1/4/1980",1980,1,4,6.593699932
"1/5/1980",1980,1,5,7.51970005
"1/6/1980",1980,1,6,12.77210045
"1/7/1980",1980,1,7,12.70049953
"1/8/1980",1980,1,8,14.83139992
"1/9/1980",1980,1,9,12.56060028
"1/10/1980",1980,1,10,8.984900475
"1/11/1980",1980,1,11,19.08060074
"1/12/1980",1980,1,12,17.86160088
"1/13/1980",1980,1,13,13.1821003
"1/14/1980",1980,1,14,16.01639938
"1/15/1980",1980,1,15,13.21790028
"1/16/1980",1980,1,16,16.76499939
"1/17/1980",1980,1,17,13.58150005
"1/18/1980",1980,1,18,17.16880035
"1/19/1980",1980,1,19,21.46030045
"1/20/1980",1980,1,20,26.85029984
"1/21/1980",1980,1,21,28.64049911
"1/22/1980",1980,1,22,27.3409996
"1/23/1980",1980,1,23,25.4416008
"1/24/1980",1980,1,24,25.13879967
"1/25/1980",1980,1,25,9.973400116
"1/26/1980",1980,1,26,16.33740044
"1/27/1980",1980,1,27,24.43759918
"1/28/1980",1980,1,28,20.19829941
"1/29/1980",1980,1,29,-15.75389957
"1/30/1980",1980,1,30,39.77659988
"1/31/1980",1980,1,31,37.51779938
"2/1/1980",1980,2,1,35.81900024
"2/2/1980",1980,2,2,28.91959953
"2/3/1980",1980,2,3,43.52429962
"2/4/1980",1980,2,4,22.48870087
"2/5/1980",1980,2,5,29.95750046
"2/6/1980",1980,2,6,43.7602005
"2/7/1980",1980,2,7,42.98329926
"2/8/1980",1980,2,8,45.49720001
"2/9/1980",1980,2,9,47.48960114
"2/10/1980",1980,2,10,48.67520142
"2/11/1980",1980,2,11,42.23239899
"2/12/1980",1980,2,12,28.51259995
"2/13/1980",1980,2,13,44.42869949
"2/14/1980",1980,2,14,36.93320084
"2/15/1980",1980,2,15,28.37170029
"2/16/1980",1980,2,16,21.27980042
"2/17/1980",1980,2,17,23.70359993
"2/18/1980",1980,2,18,33.89080048
"2/19/1980",1980,2,19,39.07759857
"2/20/1980",1980,2,20,36.01879883
"2/21/1980",1980,2,21,42.48130035
"2/22/1980",1980,2,22,47.97399902
"2/23/1980",1980,2,23,54.84609985
"2/24/1980",1980,2,24,73.04969788
"2/25/1980",1980,2,25,73.16699982
"2/26/1980",1980,2,26,74.53119659
"2/27/1980",1980,2,27,52.14139938
"2/28/1980",1980,2,28,56.74509811
"2/29/1980",1980,2,29,75.13880157
"3/1/1980",1980,3,1,49.11880112
"3/2/1980",1980,3,2,45.85279846
"3/3/1980",1980,3,3,57.31890106
"3/4/1980",1980,3,4,66.19660187
"3/5/1980",1980,3,5,42.13230133
"3/6/1980",1980,3,6,53.35969925
"3/7/1980",1980,3,7,57.80939865
"3/8/1980",1980,3,8,68.94039917
"3/9/1980",1980,3,9,94.5625
"3/10/1980",1980,3,10,93.71569824
"3/11/1980",1980,3,11,65.51170349
"3/12/1980",1980,3,12,74.49320221
"3/13/1980",1980,3,13,101.1259995
"3/14/1980",1980,3,14,76.6882019
"3/15/1980",1980,3,15,59.6996994
"3/16/1980",1980,3,16,103.7326965
"3/17/1980",1980,3,17,106.8640976
"3/18/1980",1980,3,18,107.9235001
"3/19/1980",1980,3,19,108.7197037
"3/20/1980",1980,3,20,98.54560089
"3/21/1980",1980,3,21,110.7574997
"3/22/1980",1980,3,22,116.9797974
"3/23/1980",1980,3,23,116.1811981
"3/24/1980",1980,3,24,85.89199829
"3/25/1980",1980,3,25,64.02149963
"3/26/1980",1980,3,26,90.40049744
"3/27/1980",1980,3,27,123.221199
"3/28/1980",1980,3,28,123.1656036
"3/29/1980",1980,3,29,127.9007034
"3/30/1980",1980,3,30,119.719101
"3/31/1980",1980,3,31,124.7435989
"4/1/1980",1980,4,1,126.3968964
"4/2/1980",1980,4,2,128.2315063
"4/3/1980",1980,4,3,74.8289032
"4/4/1980",1980,4,4,78.47920227
"4/5/1980",1980,4,5,91.34169769
"4/6/1980",1980,4,6,97.30190277
"4/7/1980",1980,4,7,121.9810028
"4/8/1980",1980,4,8,133.8249054
"4/9/1980",1980,4,9,133.2958984
"4/10/1980",1980,4,10,139.8852997
"4/11/1980",1980,4,11,146.1358032
"4/12/1980",1980,4,12,145.8746033
"4/13/1980",1980,4,13,139.209198
"4/14/1980",1980,4,14,130.3932953
"4/15/1980",1980,4,15,145.5319061
