"Date","Year","Month","Day","Solar Radiation (W/m^2)"
"1/1/1980",1980,1,1,4.298099995
"1/2/1980",1980,1,2,6.979800224
"1/3/1980",1980,1,3,7.478899956
"1/4/1980",1980,1,4,6.154300213
"1/5/1980",1980,1,5,7.074399948
"1/6/1980",1980,1,6,8.699999809
"1/7/1980",1980,1,7,11.59619999
"1/8/1980",1980,1,8,18.48360062
"1/9/1980",1980,1,9,17.46369934
"1/10/1980",1980,1,10,9.271499634
"1/11/1980",1980,1,11,18.64929962
"1/12/1980",1980,1,12,17.16720009
"1/13/1980",1980,1,13,14.35639954
"1/14/1980",1980,1,14,15.8448
"1/15/1980",1980,1,15,10.67039967
"1/16/1980",1980,1,16,20.9192009
"1/17/1980",1980,1,17,14.3494997
"1/18/1980",1980,1,18,13.64550018
"1/19/1980",1980,1,19,19.36249924
"1/20/1980",1980,1,20,23.86610031
"1/21/1980",1980,1,21,25.89360046
"1/22/1980",1980,1,22,23.61470032
"1/23/1980",1980,1,23,15.04599953
"1/24/1980",1980,1,24,15.94040012
"1/25/1980",1980,1,25,10.83479977
"1/26/1980",1980,1,26,11.9364996
"1/27/1980",1980,1,27,19.14340019
"1/28/1980",1980,1,28,17.82799911
"1/29/1980",1980,1,29,14.67240047
"1/30/1980",1980,1,30,34.74020004
"1/31/1980",1980,1,31,33.52619934
"2/1/1980",1980,2,1,35.44900131
"2/2/1980",1980,2,2,27.21689987
"2/3/1980",1980,2,3,34.09149933
"2/4/1980",1980,2,4,14.04240036
"2/5/1980",1980,2,5,15.47780037
"2/6/1980",1980,2,6,41.31090164
"2/7/1980",1980,2,7,39.84149933
"2/8/1980",1980,2,8,42.8132019
"2/9/1980",1980,2,9,44.50569916
"2/10/1980",1980,2,10,46.00699997
"2/11/1980",1980,2,11,38.7961998
"2/12/1980",1980,2,12,36.36240005
"2/13/1980",1980,2,13,39.92309952
"2/14/1980",1980,2,14,34.65430069
"2/15/1980",1980,2,15,33.4844017
"2/16/1980",1980,2,16,18.03249931
