"Date","Year","Month","Day","Solar Radiation (W/m^2)"
1980-01-01,1980,1,1,16.9111995697021
1980-01-02,1980,1,2,30.2292003631592
1980-01-03,1980,1,3,22.8197002410889
1980-01-04,1980,1,4,22.945499420166
1980-01-05,1980,1,5,23.6909008026123
1980-01-06,1980,1,6,22.1667003631592
1980-01-07,1980,1,7,19.7656002044678
1980-01-08,1980,1,8,15.7755002975464
1980-01-09,1980,1,9,4.14410018920898
1980-01-10,1980,1,10,3.49110007286072
1980-01-11,1980,1,11,12.3290004730225
1980-01-12,1980,1,12,12.6613998413086
1980-01-13,1980,1,13,10.5935001373291
1980-01-14,1980,1,14,15.5404996871948
1980-01-15,1980,1,15,13.7163000106812
1980-01-16,1980,1,16,14.3846998214722
1980-01-17,1980,1,17,5.65799999237061
1980-01-18,1980,1,18,-3.37890005111694
1980-01-19,1980,1,19,-1.53429996967316
1980-01-20,1980,1,20,0.743399977684021
1980-01-21,1980,1,21,19.3372993469238
1980-01-22,1980,1,22,25.5004997253418
1980-01-23,1980,1,23,32.5587005615234
1980-01-24,1980,1,24,33.5660018920898
1980-01-25,1980,1,25,37.3874015808105
1980-01-26,1980,1,26,9.55959987640381
1980-01-27,1980,1,27,4.14739990234375
1980-01-28,1980,1,28,-3.041100025177
1980-01-29,1980,1,29,-4.43230009078979
1980-01-30,1980,1,30,-1.27090001106262
1980-01-31,1980,1,31,25.1410007476807
1980-02-01,1980,2,1,38.8871994018555
1980-02-02,1980,2,2,46.9831008911133
1980-02-03,1980,2,3,47.82080078125
1980-02-04,1980,2,4,49.9367980957031
1980-02-05,1980,2,5,49.6647987365723
1980-02-06,1980,2,6,52.3106002807617
1980-02-07,1980,2,7,50.5429992675781
1980-02-08,1980,2,8,43.0581016540527
1980-02-09,1980,2,9,56.769401550293
1980-02-10,1980,2,10,59.4205017089844
1980-02-11,1980,2,11,58.6725997924805
1980-02-12,1980,2,12,64.2753982543945
1980-02-13,1980,2,13,37.9716987609863
1980-02-14,1980,2,14,45.738899230957
1980-02-15,1980,2,15,26.0380992889404
1980-02-16,1980,2,16,20.9636993408203
1980-02-17,1980,2,17,21.6660995483398
1980-02-18,1980,2,18,26.0337009429932
1980-02-19,1980,2,19,13.1829996109009
1980-02-20,1980,2,20,14.9527997970581
1980-02-21,1980,2,21,13.5138998031616
1980-02-22,1980,2,22,15.0415000915527
1980-02-23,1980,2,23,1.34949994087219
1980-02-24,1980,2,24,47.4067993164062
1980-02-25,1980,2,25,63.0845985412598
1980-02-26,1980,2,26,88.2005996704102
1980-02-27,1980,2,27,65.9415969848633
1980-02-28,1980,2,28,55.3442993164062
1980-02-29,1980,2,29,87.0101013183594
1980-03-01,1980,3,1,67.9909973144531
1980-03-02,1980,3,2,57.6078987121582
1980-03-03,1980,3,3,30.0797996520996
1980-03-04,1980,3,4,1.9805999994278
1980-03-05,1980,3,5,34.4146995544434
1980-03-06,1980,3,6,0.596199989318848
1980-03-07,1980,3,7,2.8471999168396
1980-03-08,1980,3,8,9.5738000869751
1980-03-09,1980,3,9,62.6593017578125
1980-03-10,1980,3,10,65.152099609375
1980-03-11,1980,3,11,81.6181030273438
1980-03-12,1980,3,12,-0.317999988794327
1980-03-13,1980,3,13,93.003303527832
1980-03-14,1980,3,14,86.7032012939453
1980-03-15,1980,3,15,68.9527969360352
1980-03-16,1980,3,16,121.352600097656
1980-03-17,1980,3,17,67.3643035888672
1980-03-18,1980,3,18,68.7527008056641
1980-03-19,1980,3,19,124.643096923828
1980-03-20,1980,3,20,129.91960144043
1980-03-21,1980,3,21,131.025894165039
1980-03-22,1980,3,22,116.319602966309
1980-03-23,1980,3,23,134.199005126953
1980-03-24,1980,3,24,138.414794921875
1980-03-25,1980,3,25,69.2888031005859
1980-03-26,1980,3,26,48.7210998535156
1980-03-27,1980,3,27,141.658996582031
1980-03-28,1980,3,28,141.994705200195
1980-03-29,1980,3,29,148.730392456055
1980-03-30,1980,3,30,148.011001586914
1980-03-31,1980,3,31,149.073806762695
1980-04-01,1980,4,1,147.685699462891
1980-04-02,1980,4,2,155.167205810547
1980-04-03,1980,4,3,147.157501220703
1980-04-04,1980,4,4,97.0078964233398
1980-04-05,1980,4,5,64.8339996337891
1980-04-06,1980,4,6,52.6734008789062
1980-04-07,1980,4,7,148.816802978516
1980-04-08,1980,4,8,158.490997314453
1980-04-09,1980,4,9,163.735000610352
1980-04-10,1980,4,10,167.081802368164
1980-04-11,1980,4,11,167.720794677734
1980-04-12,1980,4,12,171.429504394531
1980-04-13,1980,4,13,169.610397338867
1980-04-14,1980,4,14,174.507904052734
1980-04-15,1980,4,15,172.285293579102
1980-04-16,1980,4,16,175.485992431641
1980-04-17,1980,4,17,174.672103881836
1980-04-18,1980,4,18,174.376602172852
1980-04-19,1980,4,19,176.503997802734
1980-04-20,1980,4,20,135.582000732422
1980-04-21,1980,4,21,80.8490982055664
1980-04-22,1980,4,22,33.2862014770508
1980-04-23,1980,4,23,67.1666030883789
1980-04-24,1980,4,24,81.5203018188477
1980-04-25,1980,4,25,156.814407348633
1980-04-26,1980,4,26,185.682205200195
1980-04-27,1980,4,27,135.352996826172
1980-04-28,1980,4,28,139.939407348633
1980-04-29,1980,4,29,133.356201171875
1980-04-30,1980,4,30,112.559997558594
1980-05-01,1980,5,1,193.048706054688
1980-05-02,1980,5,2,191.730392456055
1980-05-03,1980,5,3,193.815994262695
1980-05-04,1980,5,4,147.557693481445
1980-05-05,1980,5,5,149.906097412109
1980-05-06,1980,5,6,193.921600341797
1980-05-07,1980,5,7,201.506896972656
1980-05-08,1980,5,8,147.406494140625
1980-05-09,1980,5,9,156.669692993164
1980-05-10,1980,5,10,10.8740997314453
1980-05-11,1980,5,11,41.5578002929688
1980-05-12,1980,5,12,79.7515029907227
1980-05-13,1980,5,13,131.474502563477
