"Date","Year","Month","Day","Solar Radiation (W/m^2)"
1980-01-01,1980,1,1,20.6296005249023
1980-01-02,1980,1,2,8.82299995422363
1980-01-03,1980,1,3,7.15869998931885
1980-01-04,1980,1,4,7.1213002204895
1980-01-05,1980,1,5,7.75619983673096
1980-01-06,1980,1,6,11.6746997833252
1980-01-07,1980,1,7,12.8017997741699
1980-01-08,1980,1,8,17.4330997467041
1980-01-09,1980,1,9,10.3520002365112
1980-01-10,1980,1,10,6.92929983139038
1980-01-11,1980,1,11,12.2446002960205
1980-01-12,1980,1,12,9.56270027160645
1980-01-13,1980,1,13,8.99269962310791
1980-01-14,1980,1,14,12.9743995666504
1980-01-15,1980,1,15,14.3332004547119
1980-01-16,1980,1,16,15.786600112915
1980-01-17,1980,1,17,18.8488006591797
1980-01-18,1980,1,18,19.4512996673584
1980-01-19,1980,1,19,19.9633007049561
1980-01-20,1980,1,20,26.6949996948242
1980-01-21,1980,1,21,28.8386001586914
1980-01-22,1980,1,22,20.8563003540039
1980-01-23,1980,1,23,22.6671009063721
1980-01-24,1980,1,24,24.4146995544434
1980-01-25,1980,1,25,29.9174003601074
1980-01-26,1980,1,26,25.4930000305176
1980-01-27,1980,1,27,24.4692001342773
1980-01-28,1980,1,28,15.1703996658325
1980-01-29,1980,1,29,-7.98810005187988
1980-01-30,1980,1,30,-6.04899978637695
1980-01-31,1980,1,31,32.8895988464355
1980-02-01,1980,2,1,33.5252990722656
1980-02-02,1980,2,2,33.6515998840332
1980-02-03,1980,2,3,41.5189018249512
1980-02-04,1980,2,4,27.42919921875
1980-02-05,1980,2,5,29.0098991394043
1980-02-06,1980,2,6,44.1072998046875
1980-02-07,1980,2,7,40.7113990783691
1980-02-08,1980,2,8,39.1675987243652
1980-02-09,1980,2,9,44.5802001953125
1980-02-10,1980,2,10,50.8545989990234
1980-02-11,1980,2,11,51.4906005859375
1980-02-12,1980,2,12,13.5832996368408
1980-02-13,1980,2,13,42.0689010620117
1980-02-14,1980,2,14,43.0339012145996
1980-02-15,1980,2,15,21.7346000671387
1980-02-16,1980,2,16,19.2115993499756
1980-02-17,1980,2,17,19.5256004333496
1980-02-18,1980,2,18,25.763500213623
1980-02-19,1980,2,19,31.9064998626709
1980-02-20,1980,2,20,35.4981994628906
1980-02-21,1980,2,21,34.3876991271973
1980-02-22,1980,2,22,34.7134017944336
1980-02-23,1980,2,23,46.7482986450195
1980-02-24,1980,2,24,71.4832992553711
1980-02-25,1980,2,25,70.8480987548828
1980-02-26,1980,2,26,71.6097030639648
1980-02-27,1980,2,27,52.5665016174316
1980-02-28,1980,2,28,63.3712997436523
1980-02-29,1980,2,29,77.5149002075195
1980-03-01,1980,3,1,57.9352989196777
1980-03-02,1980,3,2,57.7039985656738
1980-03-03,1980,3,3,67.8003005981445
1980-03-04,1980,3,4,69.9080963134766
1980-03-05,1980,3,5,50.3857002258301
1980-03-06,1980,3,6,58.5049018859863
1980-03-07,1980,3,7,50.6735000610352
1980-03-08,1980,3,8,63.3050003051758
1980-03-09,1980,3,9,100.205703735352
1980-03-10,1980,3,10,99.4759979248047
1980-03-11,1980,3,11,71.7418975830078
1980-03-12,1980,3,12,48.2458000183105
1980-03-13,1980,3,13,108.751403808594
1980-03-14,1980,3,14,82.6332015991211
1980-03-15,1980,3,15,67.313102722168
1980-03-16,1980,3,16,109.94750213623
1980-03-17,1980,3,17,112.500503540039
1980-03-18,1980,3,18,111.597099304199
1980-03-19,1980,3,19,110.409103393555
1980-03-20,1980,3,20,109.086097717285
1980-03-21,1980,3,21,113.253997802734
1980-03-22,1980,3,22,106.873802185059
1980-03-23,1980,3,23,118.813697814941
1980-03-24,1980,3,24,120.329803466797
1980-03-25,1980,3,25,63.6780014038086
1980-03-26,1980,3,26,80.491096496582
1980-03-27,1980,3,27,131.964202880859
1980-03-28,1980,3,28,127.141799926758
1980-03-29,1980,3,29,134.114501953125
1980-03-30,1980,3,30,127.970703125
1980-03-31,1980,3,31,132.91960144043
1980-04-01,1980,4,1,131.904205322266
1980-04-02,1980,4,2,140.228302001953
1980-04-03,1980,4,3,127.640098571777
1980-04-04,1980,4,4,103.212097167969
1980-04-05,1980,4,5,104.836700439453
1980-04-06,1980,4,6,83.9108963012695
1980-04-07,1980,4,7,142.416305541992
1980-04-08,1980,4,8,144.945999145508
1980-04-09,1980,4,9,147.981994628906
1980-04-10,1980,4,10,149.433807373047
1980-04-11,1980,4,11,150.308700561523
1980-04-12,1980,4,12,153.978302001953
1980-04-13,1980,4,13,153.391998291016
1980-04-14,1980,4,14,154.261505126953
1980-04-15,1980,4,15,155.86799621582
1980-04-16,1980,4,16,160.861801147461
1980-04-17,1980,4,17,154.678802490234
1980-04-18,1980,4,18,159.337005615234
1980-04-19,1980,4,19,161.491302490234
1980-04-20,1980,4,20,123.141700744629
1980-04-21,1980,4,21,120.30770111084
1980-04-22,1980,4,22,89.7335968017578
1980-04-23,1980,4,23,80.7767028808594
1980-04-24,1980,4,24,118.605598449707
1980-04-25,1980,4,25,146.83740234375
1980-04-26,1980,4,26,170.585693359375
1980-04-27,1980,4,27,128.042404174805
1980-04-28,1980,4,28,117.543701171875
1980-04-29,1980,4,29,106.463600158691
1980-04-30,1980,4,30,114.469100952148
1980-05-01,1980,5,1,134.678695678711
1980-05-02,1980,5,2,176.58039855957
1980-05-03,1980,5,3,180.210998535156
1980-05-04,1980,5,4,179.819900512695
1980-05-05,1980,5,5,180.960006713867
1980-05-06,1980,5,6,169.445205688477
1980-05-07,1980,5,7,182.089904785156
1980-05-08,1980,5,8,130.881896972656
1980-05-09,1980,5,9,133.112701416016
1980-05-10,1980,5,10,109.968597412109
1980-05-11,1980,5,11,122.390296936035
1980-05-12,1980,5,12,108.777900695801
1980-05-13,1980,5,13,131.874099731445
1980-05-14,1980,5,14,130.783203125
1980-05-15,1980,5,15,138.895904541016
1980-05-16,1980,5,16,188.198394775391
1980-05-17,1980,5,17,191.492294311523
1980-05-18,1980,5,18,193.48860168457
1980-05-19,1980,5,19,194.951995849609
1980-05-20,1980,5,20,188.748794555664
1980-05-21,1980,5,21,185.610794067383
1980-05-22,1980,5,22,186.630599975586
1980-05-23,1980,5,23,139.473205566406
1980-05-24,1980,5,24,134.843002319336
1980-05-25,1980,5,25,141.112197875977
1980-05-26,1980,5,26,149.675994873047
1980-05-27,1980,5,27,187.052505493164
1980-05-28,1980,5,28,186.460800170898
1980-05-29,1980,5,29,190.273498535156
1980-05-30,1980,5,30,150.221206665039
1980-05-31,1980,5,31,144.503692626953
1980-06-01,1980,6,1,144.407897949219
1980-06-02,1980,6,2,187.433807373047
1980-06-03,1980,6,3,138.434600830078
1980-06-04,1980,6,4,135.33349609375
1980-06-05,1980,6,5,181.952606201172
1980-06-06,1980,6,6,196.578201293945
1980-06-07,1980,6,7,195.667404174805
1980-06-08,1980,6,8,197.014892578125
1980-06-09,1980,6,9,191.358795166016
1980-06-10,1980,6,10,192.224700927734
1980-06-11,1980,6,11,190.435394287109
1980-06-12,1980,6,12,192.58430480957
1980-06-13,1980,6,13,186.793792724609
1980-06-14,1980,6,14,186.576202392578
1980-06-15,1980,6,15,191.55029296875
1980-06-16,1980,6,16,191.434906005859
1980-06-17,1980,6,17,185.201995849609
1980-06-18,1980,6,18,183.367004394531
1980-06-19,1980,6,19,185.944396972656
1980-06-20,1980,6,20,185.433395385742
1980-06-21,1980,6,21,188.276596069336
1980-06-22,1980,6,22,186.856292724609
1980-06-23,1980,6,23,189.151901245117
1980-06-24,1980,6,24,183.955200195312
1980-06-25,1980,6,25,185.705505371094
1980-06-26,1980,6,26,188.763397216797
1980-06-27,1980,6,27,187.511306762695
1980-06-28,1980,6,28,184.050201416016
1980-06-29,1980,6,29,132.627899169922
1980-06-30,1980,6,30,116.955497741699
1980-07-01,1980,7,1,123.904502868652
1980-07-02,1980,7,2,117.510101318359
1980-07-03,1980,7,3,172.847900390625
1980-07-04,1980,7,4,180.338897705078
1980-07-05,1980,7,5,179.965393066406
1980-07-06,1980,7,6,173.364303588867
1980-07-07,1980,7,7,178.232696533203
1980-07-08,1980,7,8,169.557800292969
1980-07-09,1980,7,9,169.592300415039
1980-07-10,1980,7,10,176.286407470703
1980-07-11,1980,7,11,170.927200317383
1980-07-12,1980,7,12,170.882400512695
1980-07-13,1980,7,13,168.698699951172
1980-07-14,1980,7,14,168.351501464844
1980-07-15,1980,7,15,169.845703125
1980-07-16,1980,7,16,164.03840637207
1980-07-17,1980,7,17,162.419006347656
1980-07-18,1980,7,18,166.591903686523
1980-07-19,1980,7,19,163.944107055664
1980-07-20,1980,7,20,162.143798828125
1980-07-21,1980,7,21,157.824600219727
1980-07-22,1980,7,22,149.847702026367
1980-07-23,1980,7,23,154.186706542969
1980-07-24,1980,7,24,152.181396484375
1980-07-25,1980,7,25,152.02229309082
1980-07-26,1980,7,26,148.534805297852
1980-07-27,1980,7,27,141.089096069336
1980-07-28,1980,7,28,138.567001342773
1980-07-29,1980,7,29,135.802307128906
1980-07-30,1980,7,30,135.482696533203
1980-07-31,1980,7,31,136.481903076172
1980-08-01,1980,8,1,138.273300170898
1980-08-02,1980,8,2,143.779006958008
1980-08-03,1980,8,3,144.542007446289
1980-08-04,1980,8,4,144.050994873047
1980-08-05,1980,8,5,144.490707397461
1980-08-06,1980,8,6,148.694900512695
1980-08-07,1980,8,7,142.351806640625
1980-08-08,1980,8,8,137.816802978516
1980-08-09,1980,8,9,133.960800170898
1980-08-10,1980,8,10,132.343704223633
1980-08-11,1980,8,11,130.299896240234
1980-08-12,1980,8,12,129.607696533203
1980-08-13,1980,8,13,130.279205322266
1980-08-14,1980,8,14,125.572601318359
1980-08-15,1980,8,15,123.861099243164
1980-08-16,1980,8,16,127.230697631836
1980-08-17,1980,8,17,125.153198242188
1980-08-18,1980,8,18,121.6708984375
1980-08-19,1980,8,19,123.384399414062
1980-08-20,1980,8,20,123.563400268555
1980-08-21,1980,8,21,121.419700622559
1980-08-22,1980,8,22,118.220497131348
1980-08-23,1980,8,23,120.153297424316
1980-08-24,1980,8,24,123.370101928711
1980-08-25,1980,8,25,117.880401611328
1980-08-26,1980,8,26,116.300399780273
1980-08-27,1980,8,27,118.846000671387
1980-08-28,1980,8,28,118.15470123291
1980-08-29,1980,8,29,117.023498535156
1980-08-30,1980,8,30,114.513496398926
1980-08-31,1980,8,31,112.335800170898
1980-09-01,1980,9,1,113.943496704102
1980-09-02,1980,9,2,109.618598937988
1980-09-03,1980,9,3,104.321296691895
1980-09-04,1980,9,4,103.567199707031
1980-09-05,1980,9,5,100.416900634766
1980-09-06,1980,9,6,97.3778991699219
1980-09-07,1980,9,7,72.7740020751953
1980-09-08,1980,9,8,63.2482986450195
1980-09-09,1980,9,9,98.4960021972656
1980-09-10,1980,9,10,87.4417037963867
1980-09-11,1980,9,11,90.7542037963867
1980-09-12,1980,9,12,93.7210998535156
1980-09-13,1980,9,13,88.0986022949219
1980-09-14,1980,9,14,92.5748977661133
