"Date","Year","Month","Day","Solar Radiation (W/m^2)"
"1/1/1980",1980,1,1,9.412099838
"1/2/1980",1980,1,2,9.660599709
"1/3/1980",1980,1,3,10.52190018
"1/4/1980",1980,1,4,7.301700115
"1/5/1980",1980,1,5,7.986800194
"1/6/1980",1980,1,6,10.96080017
"1/7/1980",1980,1,7,11.27789974
"1/8/1980",1980,1,8,16.76110077
"1/9/1980",1980,1,9,14.26399994
"1/10/1980",1980,1,10,9.440099716
"1/11/1980",1980,1,11,19.46800041
"1/12/1980",1980,1,12,18.3572998
"1/13/1980",1980,1,13,13.98429966
"1/14/1980",1980,1,14,16.5916996
"1/15/1980",1980,1,15,12.35470009
"1/16/1980",1980,1,16,19.55610085
"1/17/1980",1980,1,17,12.39299965
"1/18/1980",1980,1,18,16.77429962
"1/19/1980",1980,1,19,20.66640091
"1/20/1980",1980,1,20,24.80209923
"1/21/1980",1980,1,21,26.29100037
"1/22/1980",1980,1,22,26.13240051
"1/23/1980",1980,1,23,19.20529938
"1/24/1980",1980,1,24,18.30809975
"1/25/1980",1980,1,25,11.29199982
"1/26/1980",1980,1,26,11.54339981
"1/27/1980",1980,1,27,19.71450043
"1/28/1980",1980,1,28,20.36520004
"1/29/1980",1980,1,29,1.005499959
"1/30/1980",1980,1,30,37.14049911
"1/31/1980",1980,1,31,36.04919815
"2/1/1980",1980,2,1,35.3567009
"2/2/1980",1980,2,2,29.18320084
"2/3/1980",1980,2,3,38.29999924
"2/4/1980",1980,2,4,23.03899956
"2/5/1980",1980,2,5,22.30150032
"2/6/1980",1980,2,6,30.87560081
"2/7/1980",1980,2,7,42.12030029
"2/8/1980",1980,2,8,44.45420074
"2/9/1980",1980,2,9,46.58580017
"2/10/1980",1980,2,10,47.07500076
"2/11/1980",1980,2,11,40.00139999
"2/12/1980",1980,2,12,49.19039917
"2/13/1980",1980,2,13,42.39979935
"2/14/1980",1980,2,14,35.07870102
"2/15/1980",1980,2,15,31.72800064
"2/16/1980",1980,2,16,20.03960037
"2/17/1980",1980,2,17,26.07500076
"2/18/1980",1980,2,18,40.74649811
"2/19/1980",1980,2,19,40.59550095
"2/20/1980",1980,2,20,40.3669014
"2/21/1980",1980,2,21,45.82440186
"2/22/1980",1980,2,22,47.66529846
"2/23/1980",1980,2,23,53.32889938
"2/24/1980",1980,2,24,70.49210358
"2/25/1980",1980,2,25,72.0802002
"2/26/1980",1980,2,26,55.13349915
"2/27/1980",1980,2,27,49.45740128
"2/28/1980",1980,2,28,55.46160126
"2/29/1980",1980,2,29,75.21209717
"3/1/1980",1980,3,1,50.83819962
"3/2/1980",1980,3,2,35.52460098
"3/3/1980",1980,3,3,54.74269867
"3/4/1980",1980,3,4,66.79820251
"3/5/1980",1980,3,5,46.28269958
"3/6/1980",1980,3,6,51.84180069
"3/7/1980",1980,3,7,56.17150116
"3/8/1980",1980,3,8,88.99340057
"3/9/1980",1980,3,9,91.49440002
"3/10/1980",1980,3,10,92.84369659
"3/11/1980",1980,3,11,63.74509811
"3/12/1980",1980,3,12,69.57489777
"3/13/1980",1980,3,13,98.04740143
"3/14/1980",1980,3,14,101.2326965
"3/15/1980",1980,3,15,57.23759842
"3/16/1980",1980,3,16,100.3740997
"3/17/1980",1980,3,17,106.637001
"3/18/1980",1980,3,18,105.0672989
"3/19/1980",1980,3,19,109.3824997
"3/20/1980",1980,3,20,102.3486023
"3/21/1980",1980,3,21,109.9281006
"3/22/1980",1980,3,22,115.3000031
"3/23/1980",1980,3,23,115.1128998
"3/24/1980",1980,3,24,87.8423996
"3/25/1980",1980,3,25,68.28350067
"3/26/1980",1980,3,26,90.23970032
"3/27/1980",1980,3,27,121.0024033
"3/28/1980",1980,3,28,120.9728012
"3/29/1980",1980,3,29,125.9962006
"3/30/1980",1980,3,30,118.7820969
"3/31/1980",1980,3,31,90.77590179
"4/1/1980",1980,4,1,121.6365967
"4/2/1980",1980,4,2,125.2101974
"4/3/1980",1980,4,3,76.04740143
"4/4/1980",1980,4,4,78.95970154
"4/5/1980",1980,4,5,75.2766037
"4/6/1980",1980,4,6,95.88870239
"4/7/1980",1980,4,7,124.0645981
"4/8/1980",1980,4,8,139.3412933
"4/9/1980",1980,4,9,125.129303
"4/10/1980",1980,4,10,136.0737
"4/11/1980",1980,4,11,144.0249939
"4/12/1980",1980,4,12,143.6177063
"4/13/1980",1980,4,13,138.9703979
"4/14/1980",1980,4,14,118.8197021
"4/15/1980",1980,4,15,142.5746002
"4/16/1980",1980,4,16,148.8973999
"4/17/1980",1980,4,17,117.4561005
"4/18/1980",1980,4,18,137.0404053
"4/19/1980",1980,4,19,144.0567017
"4/20/1980",1980,4,20,105.9979019
"4/21/1980",1980,4,21,101.8423004
"4/22/1980",1980,4,22,75.97029877
"4/23/1980",1980,4,23,88.9088974
"4/24/1980",1980,4,24,136.2494049
"4/25/1980",1980,4,25,154.889801
"4/26/1980",1980,4,26,161.7371979
"4/27/1980",1980,4,27,117.6865005
"4/28/1980",1980,4,28,107.5522003
"4/29/1980",1980,4,29,90.38829803
"4/30/1980",1980,4,30,151.421402
"5/1/1980",1980,5,1,131.1412964
"5/2/1980",1980,5,2,149.5079041
"5/3/1980",1980,5,3,152.9963989
"5/4/1980",1980,5,4,151.2077942
"5/5/1980",1980,5,5,140.1392975
"5/6/1980",1980,5,6,157.7758026
"5/7/1980",1980,5,7,158.655899
"5/8/1980",1980,5,8,116.157402
"5/9/1980",1980,5,9,92.75839996
"5/10/1980",1980,5,10,113.2256012
"5/11/1980",1980,5,11,117.1648026
"5/12/1980",1980,5,12,147.4526062
"5/13/1980",1980,5,13,150.9481964
"5/14/1980",1980,5,14,158.2191925
"5/15/1980",1980,5,15,164.1282043
"5/16/1980",1980,5,16,164.5032959
"5/17/1980",1980,5,17,160.3047943
"5/18/1980",1980,5,18,158.1302948
"5/19/1980",1980,5,19,155.1712952
"5/20/1980",1980,5,20,148.9223022
"5/21/1980",1980,5,21,146.7265015
"5/22/1980",1980,5,22,119.5422974
"5/23/1980",1980,5,23,122.7567978
"5/24/1980",1980,5,24,122.905098
"5/25/1980",1980,5,25,125.3528976
"5/26/1980",1980,5,26,160.446701
"5/27/1980",1980,5,27,159.0214996
"5/28/1980",1980,5,28,157.7339935
"5/29/1980",1980,5,29,158.392807
"5/30/1980",1980,5,30,160.4841003
"5/31/1980",1980,5,31,156.4833984
"6/1/1980",1980,6,1,163.3914948
"6/2/1980",1980,6,2,167.5733032
"6/3/1980",1980,6,3,164.3115997
"6/4/1980",1980,6,4,152.7422028
"6/5/1980",1980,6,5,159.5912018
"6/6/1980",1980,6,6,163.1257935
"6/7/1980",1980,6,7,159.6112061
"6/8/1980",1980,6,8,156.2075958
"6/9/1980",1980,6,9,153.0205994
"6/10/1980",1980,6,10,155.9774933
"6/11/1980",1980,6,11,155.1999054
"6/12/1980",1980,6,12,157.8984985
"6/13/1980",1980,6,13,153.0722961
"6/14/1980",1980,6,14,153.8957062
"6/15/1980",1980,6,15,148.5821075
"6/16/1980",1980,6,16,146.6988983
"6/17/1980",1980,6,17,145.1954956
"6/18/1980",1980,6,18,143.8773041
"6/19/1980",1980,6,19,147.3784943
"6/20/1980",1980,6,20,153.8014069
"6/21/1980",1980,6,21,149.7297974
"6/22/1980",1980,6,22,152.0897064
"6/23/1980",1980,6,23,142.7787933
"6/24/1980",1980,6,24,145.5975952
"6/25/1980",1980,6,25,134.7008972
"6/26/1980",1980,6,26,144.2017975
"6/27/1980",1980,6,27,137.0538025
"6/28/1980",1980,6,28,131.6708984
"6/29/1980",1980,6,29,115.3955994
"6/30/1980",1980,6,30,116.4447021
"7/1/1980",1980,7,1,98.68900299
"7/2/1980",1980,7,2,84.25099945
"7/3/1980",1980,7,3,102.9898987
"7/4/1980",1980,7,4,143.2521057
"7/5/1980",1980,7,5,136.5731964
"7/6/1980",1980,7,6,131.3262024
"7/7/1980",1980,7,7,131.0910034
"7/8/1980",1980,7,8,124.8890991
"7/9/1980",1980,7,9,130.5581055
"7/10/1980",1980,7,10,135.1703949
"7/11/1980",1980,7,11,129.3833008
"7/12/1980",1980,7,12,132.4073944
"7/13/1980",1980,7,13,132.5063019
"7/14/1980",1980,7,14,132.6674957
"7/15/1980",1980,7,15,129.2579956
"7/16/1980",1980,7,16,115.748703
"7/17/1980",1980,7,17,122.4922028
"7/18/1980",1980,7,18,126.3952026
"7/19/1980",1980,7,19,127.7015991
"7/20/1980",1980,7,20,122.3925018
"7/21/1980",1980,7,21,119.6266022
"7/22/1980",1980,7,22,115.9754028
"7/23/1980",1980,7,23,114.5714035
"7/24/1980",1980,7,24,115.5052032
"7/25/1980",1980,7,25,114.7839966
"7/26/1980",1980,7,26,113.1035995
"7/27/1980",1980,7,27,107.1248016
"7/28/1980",1980,7,28,94.09899902
"7/29/1980",1980,7,29,101.435997
"7/30/1980",1980,7,30,102.1715012
"7/31/1980",1980,7,31,101.7556992
"8/1/1980",1980,8,1,100.6968002
"8/2/1980",1980,8,2,113.3315964
"8/3/1980",1980,8,3,114.3692017
"8/4/1980",1980,8,4,113.1232986
"8/5/1980",1980,8,5,114.8410034
"8/6/1980",1980,8,6,114.524498
"8/7/1980",1980,8,7,106.9850998
"8/8/1980",1980,8,8,110.6042023
"8/9/1980",1980,8,9,111.7012024
"8/10/1980",1980,8,10,103.2343979
"8/11/1980",1980,8,11,106.4381027
"8/12/1980",1980,8,12,105.1488037
"8/13/1980",1980,8,13,109.5571976
"8/14/1980",1980,8,14,108.6523972
"8/15/1980",1980,8,15,109.0621033
"8/16/1980",1980,8,16,102.5903015
"8/17/1980",1980,8,17,99.23410034
"8/18/1980",1980,8,18,102.6388016
"8/19/1980",1980,8,19,99.1013031
"8/20/1980",1980,8,20,97.01540375
"8/21/1980",1980,8,21,96.01799774
"8/22/1980",1980,8,22,91.85449982
"8/23/1980",1980,8,23,97.53800201
"8/24/1980",1980,8,24,98.03910065
"8/25/1980",1980,8,25,97.5565033
"8/26/1980",1980,8,26,93.16290283
"8/27/1980",1980,8,27,93.51609802
"8/28/1980",1980,8,28,97.5401001
"8/29/1980",1980,8,29,97.05310059
"8/30/1980",1980,8,30,89.8010025
"8/31/1980",1980,8,31,88.30249786
"9/1/1980",1980,9,1,83.92320251
"9/2/1980",1980,9,2,83.77359772
"9/3/1980",1980,9,3,79.98829651
"9/4/1980",1980,9,4,79.51280212
"9/5/1980",1980,9,5,76.86029816
"9/6/1980",1980,9,6,77.16480255
"9/7/1980",1980,9,7,80.51760101
"9/8/1980",1980,9,8,51.16540146
"9/9/1980",1980,9,9,75.82620239
"9/10/1980",1980,9,10,76.48590088
"9/11/1980",1980,9,11,73.5298996
"9/12/1980",1980,9,12,73.5746994
"9/13/1980",1980,9,13,76.33869934
"9/14/1980",1980,9,14,73.88059998
"9/15/1980",1980,9,15,70.97850037
"9/16/1980",1980,9,16,72.43060303
"9/17/1980",1980,9,17,61.3465004
