"Date","Year","Month","Day","Solar Radiation (W/m^2)"
1980-01-01,1980,1,1,4.05480003356934
1980-01-02,1980,1,2,6.0693998336792
1980-01-03,1980,1,3,8.23019981384277
1980-01-04,1980,1,4,8.15590000152588
1980-01-05,1980,1,5,9.02760028839111
1980-01-06,1980,1,6,10.8472003936768
1980-01-07,1980,1,7,11.8971996307373
1980-01-08,1980,1,8,16.7306995391846
1980-01-09,1980,1,9,9.59309959411621
1980-01-10,1980,1,10,7.11149978637695
1980-01-11,1980,1,11,11.5465002059937
1980-01-12,1980,1,12,9.29349994659424
1980-01-13,1980,1,13,8.40919971466064
1980-01-14,1980,1,14,12.336199760437
1980-01-15,1980,1,15,13.3049001693726
1980-01-16,1980,1,16,12.1138000488281
1980-01-17,1980,1,17,17.1693000793457
1980-01-18,1980,1,18,11.8253002166748
1980-01-19,1980,1,19,20.2248992919922
1980-01-20,1980,1,20,26.8218994140625
1980-01-21,1980,1,21,29.5739994049072
1980-01-22,1980,1,22,21.6753997802734
1980-01-23,1980,1,23,23.1326007843018
1980-01-24,1980,1,24,24.8540992736816
1980-01-25,1980,1,25,31.2824001312256
1980-01-26,1980,1,26,19.3680000305176
1980-01-27,1980,1,27,14.6564998626709
1980-01-28,1980,1,28,4.83720016479492
1980-01-29,1980,1,29,-8.09510040283203
1980-01-30,1980,1,30,-6.96960020065308
1980-01-31,1980,1,31,33.7309989929199
1980-02-01,1980,2,1,35.1538009643555
1980-02-02,1980,2,2,35.4472999572754
1980-02-03,1980,2,3,40.8524017333984
1980-02-04,1980,2,4,29.0282001495361
1980-02-05,1980,2,5,29.6909008026123
1980-02-06,1980,2,6,44.4570999145508
1980-02-07,1980,2,7,41.6683006286621
1980-02-08,1980,2,8,35.3951988220215
1980-02-09,1980,2,9,45.0620994567871
1980-02-10,1980,2,10,50.6934013366699
1980-02-11,1980,2,11,51.4837989807129
1980-02-12,1980,2,12,12.7266998291016
1980-02-13,1980,2,13,34.8222999572754
1980-02-14,1980,2,14,44.9182014465332
1980-02-15,1980,2,15,24.4223003387451
1980-02-16,1980,2,16,18.4087009429932
1980-02-17,1980,2,17,18.5100994110107
1980-02-18,1980,2,18,22.9109992980957
1980-02-19,1980,2,19,29.6392002105713
1980-02-20,1980,2,20,30.8612003326416
1980-02-21,1980,2,21,28.7931003570557
1980-02-22,1980,2,22,27.2089004516602
1980-02-23,1980,2,23,26.2451992034912
1980-02-24,1980,2,24,71.8753967285156
1980-02-25,1980,2,25,71.3910980224609
1980-02-26,1980,2,26,72.7104034423828
1980-02-27,1980,2,27,55.1161994934082
1980-02-28,1980,2,28,65.1658020019531
1980-02-29,1980,2,29,76.899299621582
1980-03-01,1980,3,1,59.8050003051758
1980-03-02,1980,3,2,58.5662002563477
1980-03-03,1980,3,3,50.4770011901855
1980-03-04,1980,3,4,64.8778991699219
1980-03-05,1980,3,5,55.5326995849609
1980-03-06,1980,3,6,25.2374000549316
1980-03-07,1980,3,7,19.6343994140625
1980-03-08,1980,3,8,56.0535011291504
1980-03-09,1980,3,9,102.236801147461
1980-03-10,1980,3,10,99.8985977172852
1980-03-11,1980,3,11,68.30419921875
1980-03-12,1980,3,12,21.0949993133545
1980-03-13,1980,3,13,109.406700134277
1980-03-14,1980,3,14,83.1747970581055
1980-03-15,1980,3,15,72.9755020141602
1980-03-16,1980,3,16,109.627899169922
1980-03-17,1980,3,17,113.48210144043
1980-03-18,1980,3,18,112.583801269531
1980-03-19,1980,3,19,109.311897277832
1980-03-20,1980,3,20,112.777297973633
1980-03-21,1980,3,21,113.860198974609
1980-03-22,1980,3,22,102.300903320312
1980-03-23,1980,3,23,118.639602661133
1980-03-24,1980,3,24,121.628799438477
1980-03-25,1980,3,25,53.8513984680176
1980-03-26,1980,3,26,49.2617988586426
1980-03-27,1980,3,27,132.878692626953
1980-03-28,1980,3,28,128.098007202148
1980-03-29,1980,3,29,134.554000854492
1980-03-30,1980,3,30,130.921005249023
1980-03-31,1980,3,31,133.949798583984
1980-04-01,1980,4,1,133.078506469727
1980-04-02,1980,4,2,141.337295532227
1980-04-03,1980,4,3,130.326400756836
1980-04-04,1980,4,4,108.885902404785
1980-04-05,1980,4,5,77.8738021850586
1980-04-06,1980,4,6,71.7001037597656
1980-04-07,1980,4,7,138.252593994141
1980-04-08,1980,4,8,143.928100585938
1980-04-09,1980,4,9,149.830001831055
1980-04-10,1980,4,10,151.789794921875
1980-04-11,1980,4,11,152.129898071289
1980-04-12,1980,4,12,154.889999389648
1980-04-13,1980,4,13,153.267593383789
1980-04-14,1980,4,14,157.57209777832
1980-04-15,1980,4,15,156.730194091797
1980-04-16,1980,4,16,161.243392944336
1980-04-17,1980,4,17,159.904205322266
1980-04-18,1980,4,18,161.372100830078
1980-04-19,1980,4,19,161.811294555664
1980-04-20,1980,4,20,126.622100830078
1980-04-21,1980,4,21,125.717697143555
1980-04-22,1980,4,22,83.2645034790039
1980-04-23,1980,4,23,76.8407974243164
1980-04-24,1980,4,24,103.240501403809
1980-04-25,1980,4,25,138.568099975586
1980-04-26,1980,4,26,169.934295654297
1980-04-27,1980,4,27,126.736099243164
1980-04-28,1980,4,28,124.963401794434
1980-04-29,1980,4,29,117.177299499512
1980-04-30,1980,4,30,109.841102600098
1980-05-01,1980,5,1,135.209701538086
1980-05-02,1980,5,2,177.08740234375
1980-05-03,1980,5,3,180.023300170898
1980-05-04,1980,5,4,181.257507324219
1980-05-05,1980,5,5,183.367904663086
1980-05-06,1980,5,6,170.879806518555
1980-05-07,1980,5,7,183.067794799805
1980-05-08,1980,5,8,133.139801025391
1980-05-09,1980,5,9,139.512802124023
1980-05-10,1980,5,10,88.5130004882812
1980-05-11,1980,5,11,112.02140045166
1980-05-12,1980,5,12,96.3816986083984
1980-05-13,1980,5,13,129.116195678711
1980-05-14,1980,5,14,126.166000366211
1980-05-15,1980,5,15,137.165603637695
1980-05-16,1980,5,16,187.074203491211
1980-05-17,1980,5,17,192.324203491211
1980-05-18,1980,5,18,192.518096923828
1980-05-19,1980,5,19,197.735900878906
1980-05-20,1980,5,20,192.378295898438
