"Date","Year","Month","Day","Solar Radiation (W/m^2)"
1980-01-01,1980,1,1,26.8330001831055
1980-01-02,1980,1,2,6.44229984283447
1980-01-03,1980,1,3,4.89060020446777
1980-01-04,1980,1,4,5.04040002822876
1980-01-05,1980,1,5,5.03929996490479
1980-01-06,1980,1,6,13.5097999572754
1980-01-07,1980,1,7,14.5530004501343
1980-01-08,1980,1,8,18.2275009155273
1980-01-09,1980,1,9,9.43579959869385
1980-01-10,1980,1,10,6.64909982681274
1980-01-11,1980,1,11,11.2960996627808
1980-01-12,1980,1,12,9.18780040740967
1980-01-13,1980,1,13,8.33450031280518
1980-01-14,1980,1,14,11.789400100708
1980-01-15,1980,1,15,14.2908000946045
1980-01-16,1980,1,16,19.0723991394043
1980-01-17,1980,1,17,25.8528003692627
1980-01-18,1980,1,18,25.4143009185791
1980-01-19,1980,1,19,17.2709007263184
1980-01-20,1980,1,20,27.3022003173828
1980-01-21,1980,1,21,30.7583999633789
1980-01-22,1980,1,22,18.8554000854492
1980-01-23,1980,1,23,19.4188995361328
1980-01-24,1980,1,24,20.8791007995605
1980-01-25,1980,1,25,25.6543998718262
1980-01-26,1980,1,26,31.9832992553711
1980-01-27,1980,1,27,26.8164005279541
1980-01-28,1980,1,28,27.8791999816895
1980-01-29,1980,1,29,-4.88299989700317
1980-01-30,1980,1,30,30.0153007507324
1980-01-31,1980,1,31,29.4181003570557
1980-02-01,1980,2,1,30.3616008758545
1980-02-02,1980,2,2,29.1998996734619
1980-02-03,1980,2,3,43.1048011779785
1980-02-04,1980,2,4,24.5711002349854
1980-02-05,1980,2,5,27.2329998016357
1980-02-06,1980,2,6,44.6846008300781
1980-02-07,1980,2,7,38.2731018066406
1980-02-08,1980,2,8,37.9199981689453
1980-02-09,1980,2,9,40.9039993286133
1980-02-10,1980,2,10,51.1781997680664
1980-02-11,1980,2,11,53.201301574707
1980-02-12,1980,2,12,12.1399002075195
1980-02-13,1980,2,13,46.3059997558594
1980-02-14,1980,2,14,47.7645988464355
1980-02-15,1980,2,15,24.4300003051758
1980-02-16,1980,2,16,19.0767993927002
1980-02-17,1980,2,17,18.9643993377686
1980-02-18,1980,2,18,23.0118007659912
1980-02-19,1980,2,19,32.625
1980-02-20,1980,2,20,38.3087005615234
1980-02-21,1980,2,21,33.7228012084961
1980-02-22,1980,2,22,36.1100006103516
1980-02-23,1980,2,23,52.0777015686035
1980-02-24,1980,2,24,68.1232986450195
1980-02-25,1980,2,25,67.372802734375
1980-02-26,1980,2,26,69.1672973632812
1980-02-27,1980,2,27,50.1918983459473
1980-02-28,1980,2,28,65.8276977539062
1980-02-29,1980,2,29,79.0420989990234
1980-03-01,1980,3,1,52.7235984802246
1980-03-02,1980,3,2,63.5046005249023
1980-03-03,1980,3,3,75.5654983520508
1980-03-04,1980,3,4,78.5749969482422
1980-03-05,1980,3,5,41.5998992919922
1980-03-06,1980,3,6,61.7991981506348
1980-03-07,1980,3,7,62.9790992736816
1980-03-08,1980,3,8,74.0435028076172
1980-03-09,1980,3,9,100.303199768066
1980-03-10,1980,3,10,100.15119934082
1980-03-11,1980,3,11,68.7669982910156
1980-03-12,1980,3,12,39.530101776123
1980-03-13,1980,3,13,109.394401550293
1980-03-14,1980,3,14,82.8206024169922
1980-03-15,1980,3,15,61.7463989257812
1980-03-16,1980,3,16,108.287002563477
1980-03-17,1980,3,17,110.456703186035
1980-03-18,1980,3,18,108.021499633789
1980-03-19,1980,3,19,105.023399353027
1980-03-20,1980,3,20,101.695297241211
1980-03-21,1980,3,21,109.119697570801
