"Date","Year","Month","Day","Solar Radiation (W/m^2)"
"1/1/1980",1980,1,1,-8.877300262
"1/2/1980",1980,1,2,-5.453800201
"1/3/1980",1980,1,3,-4.69990015
"1/4/1980",1980,1,4,-2.996299982
"1/5/1980",1980,1,5,3.618099928
"1/6/1980",1980,1,6,5.175199986
"1/7/1980",1980,1,7,9.135499954
"1/8/1980",1980,1,8,8.713399887
"1/9/1980",1980,1,9,5.743899822
"1/10/1980",1980,1,10,-4.666600227
"1/11/1980",1980,1,11,-4.661799908
"1/12/1980",1980,1,12,14.07800007
"1/13/1980",1980,1,13,30.2262001
"1/14/1980",1980,1,14,17.65469933
"1/15/1980",1980,1,15,-4.200200081
"1/16/1980",1980,1,16,-1.255699992
"1/17/1980",1980,1,17,-4.032299995
"1/18/1980",1980,1,18,-7.335299969
"1/19/1980",1980,1,19,-4.262199879
"1/20/1980",1980,1,20,-5.511700153
"1/21/1980",1980,1,21,-1.918200016
"1/22/1980",1980,1,22,1.233899951
"1/23/1980",1980,1,23,5.252799988
"1/24/1980",1980,1,24,7.240799904
"1/25/1980",1980,1,25,7.059700012
"1/26/1980",1980,1,26,4.664999962
"1/27/1980",1980,1,27,4.549099922
"1/28/1980",1980,1,28,-5.401400089
"1/29/1980",1980,1,29,-4.626399994
"1/30/1980",1980,1,30,-1.540500045
"1/31/1980",1980,1,31,-2.069299936
"2/1/1980",1980,2,1,-1.379199982
"2/2/1980",1980,2,2,3.768399954
"2/3/1980",1980,2,3,5.531400204
"2/4/1980",1980,2,4,30.98539925
"2/5/1980",1980,2,5,46.61980057
"2/6/1980",1980,2,6,46.09590149
"2/7/1980",1980,2,7,37.15430069
"2/8/1980",1980,2,8,25.27300072
"2/9/1980",1980,2,9,37.09199905
"2/10/1980",1980,2,10,37.83110046
"2/11/1980",1980,2,11,40.08250046
"2/12/1980",1980,2,12,38.90420151
"2/13/1980",1980,2,13,17.08359909
"2/14/1980",1980,2,14,-1.725299954
"2/15/1980",1980,2,15,3.433300018
"2/16/1980",1980,2,16,2.76060009
"2/17/1980",1980,2,17,4.569099903
"2/18/1980",1980,2,18,13.0795002
"2/19/1980",1980,2,19,-4.165800095
"2/20/1980",1980,2,20,-3.891499996
"2/21/1980",1980,2,21,-2.342700005
"2/22/1980",1980,2,22,-2.790199995
"2/23/1980",1980,2,23,-2.419500113
"2/24/1980",1980,2,24,1.325299978
"2/25/1980",1980,2,25,12.1541996
"2/26/1980",1980,2,26,43.21559906
"2/27/1980",1980,2,27,30.94519997
"2/28/1980",1980,2,28,8.590999603
"2/29/1980",1980,2,29,16.69869995
"3/1/1980",1980,3,1,25.36750031
"3/2/1980",1980,3,2,24.37339973
"3/3/1980",1980,3,3,-6.04489994
"3/4/1980",1980,3,4,-5.621099949
"3/5/1980",1980,3,5,0.880999982
"3/6/1980",1980,3,6,-7.467199802
"3/7/1980",1980,3,7,-7.0697999
"3/8/1980",1980,3,8,0.295399994
"3/9/1980",1980,3,9,3.022099972
"3/10/1980",1980,3,10,6.210499763
"3/11/1980",1980,3,11,10.58310032
"3/12/1980",1980,3,12,-6.302299976
"3/13/1980",1980,3,13,7.274700165
"3/14/1980",1980,3,14,16.76600075
"3/15/1980",1980,3,15,16.3635006
"3/16/1980",1980,3,16,29.68289948
"3/17/1980",1980,3,17,22.5114994
"3/18/1980",1980,3,18,43.48310089
"3/19/1980",1980,3,19,60.4701004
"3/20/1980",1980,3,20,75.10559845
"3/21/1980",1980,3,21,67.22109985
"3/22/1980",1980,3,22,60.48649979
"3/23/1980",1980,3,23,80.58999634
"3/24/1980",1980,3,24,82.08599854
"3/25/1980",1980,3,25,78.3859024
"3/26/1980",1980,3,26,64.39409637
"3/27/1980",1980,3,27,83.88469696
"3/28/1980",1980,3,28,81.40229797
"3/29/1980",1980,3,29,96.51950073
"3/30/1980",1980,3,30,96.25650024
"3/31/1980",1980,3,31,96.80470276
"4/1/1980",1980,4,1,79.61039734
"4/2/1980",1980,4,2,90.70379639
"4/3/1980",1980,4,3,93.959198
"4/4/1980",1980,4,4,55.27030182
"4/5/1980",1980,4,5,13.53419971
"4/6/1980",1980,4,6,1.539100051
"4/7/1980",1980,4,7,57.21789932
"4/8/1980",1980,4,8,91.30619812
"4/9/1980",1980,4,9,95.75
"4/10/1980",1980,4,10,95.57360077
"4/11/1980",1980,4,11,101.1194
"4/12/1980",1980,4,12,107.1162033
"4/13/1980",1980,4,13,119.3756027
"4/14/1980",1980,4,14,115.3172989
"4/15/1980",1980,4,15,107.197998
"4/16/1980",1980,4,16,116.6502991
"4/17/1980",1980,4,17,138.1513977
"4/18/1980",1980,4,18,137.3558044
"4/19/1980",1980,4,19,136.2581024
"4/20/1980",1980,4,20,100.3410034
"4/21/1980",1980,4,21,33.43939972
"4/22/1980",1980,4,22,5.180699825
"4/23/1980",1980,4,23,24.99270058
"4/24/1980",1980,4,24,40.37929916
"4/25/1980",1980,4,25,92.1855011
"4/26/1980",1980,4,26,124.5442963
"4/27/1980",1980,4,27,103.848999
"4/28/1980",1980,4,28,128.2057953
"4/29/1980",1980,4,29,111.564003
"4/30/1980",1980,4,30,56.44309998
"5/1/1980",1980,5,1,151.2290039
"5/2/1980",1980,5,2,148.6325989
"5/3/1980",1980,5,3,156.5083008
"5/4/1980",1980,5,4,125.614502
"5/5/1980",1980,5,5,126.3010025
"5/6/1980",1980,5,6,158.4884949
"5/7/1980",1980,5,7,154.9445953
"5/8/1980",1980,5,8,120.6283035
"5/9/1980",1980,5,9,93.457901
"5/10/1980",1980,5,10,-1.837800026
"5/11/1980",1980,5,11,1.03489995
"5/12/1980",1980,5,12,4.030900002
"5/13/1980",1980,5,13,37.44879913
"5/14/1980",1980,5,14,65.62799835
"5/15/1980",1980,5,15,63.05730057
"5/16/1980",1980,5,16,159.1954041
"5/17/1980",1980,5,17,186.354599
"5/18/1980",1980,5,18,186.1911011
"5/19/1980",1980,5,19,192.2928925
"5/20/1980",1980,5,20,194.1739044
"5/21/1980",1980,5,21,183.8905945
"5/22/1980",1980,5,22,197.0682983
"5/23/1980",1980,5,23,145.6824036
"5/24/1980",1980,5,24,85.52600098
"5/25/1980",1980,5,25,47.95869827
