"Date","Year","Month","Day","Solar Radiation (W/m^2)"
"1/1/1980",1980,1,1,15.64019966
"1/2/1980",1980,1,2,11.20419979
"1/3/1980",1980,1,3,12.04889965
"1/4/1980",1980,1,4,7.759699821
"1/5/1980",1980,1,5,8.349200249
"1/6/1980",1980,1,6,12.63169956
"1/7/1980",1980,1,7,13.57279968
"1/8/1980",1980,1,8,15.85229969
"1/9/1980",1980,1,9,11.9513998
"1/10/1980",1980,1,10,8.654500008
"1/11/1980",1980,1,11,18.17079926
"1/12/1980",1980,1,12,15.7258997
"1/13/1980",1980,1,13,12.20580006
"1/14/1980",1980,1,14,15.32499981
"1/15/1980",1980,1,15,13.51739979
"1/16/1980",1980,1,16,16.81760025
"1/17/1980",1980,1,17,15.59319973
"1/18/1980",1980,1,18,18.68260002
"1/19/1980",1980,1,19,21.37059975
"1/20/1980",1980,1,20,26.76469994
"1/21/1980",1980,1,21,29.28450012
"1/22/1980",1980,1,22,26.59230042
"1/23/1980",1980,1,23,25.61619949
"1/24/1980",1980,1,24,25.89019966
"1/25/1980",1980,1,25,19.0366993
"1/26/1980",1980,1,26,23.78790092
"1/27/1980",1980,1,27,24.47599983
"1/28/1980",1980,1,28,21.54319954
"1/29/1980",1980,1,29,-10.34070015
"1/30/1980",1980,1,30,39.01589966
"1/31/1980",1980,1,31,37.33549881
"2/1/1980",1980,2,1,35.63019943
"2/2/1980",1980,2,2,32.1114006
"2/3/1980",1980,2,3,42.87379837
"2/4/1980",1980,2,4,23.27190018
"2/5/1980",1980,2,5,30.9246006
"2/6/1980",1980,2,6,44.65710068
"2/7/1980",1980,2,7,43.15599823
"2/8/1980",1980,2,8,44.86999893
"2/9/1980",1980,2,9,46.80580139
"2/10/1980",1980,2,10,49.25979996
"2/11/1980",1980,2,11,44.28530121
"2/12/1980",1980,2,12,26.19050026
"2/13/1980",1980,2,13,45.15950012
"2/14/1980",1980,2,14,38.81809998
"2/15/1980",1980,2,15,26.82869911
"2/16/1980",1980,2,16,21.12789917
"2/17/1980",1980,2,17,22.6909008
"2/18/1980",1980,2,18,31.36100006
"2/19/1980",1980,2,19,38.11909866
"2/20/1980",1980,2,20,36.11970139
"2/21/1980",1980,2,21,41.08909988
"2/22/1980",1980,2,22,44.3166008
"2/23/1980",1980,2,23,53.8166008
"2/24/1980",1980,2,24,73.32489777
"2/25/1980",1980,2,25,73.05110168
"2/26/1980",1980,2,26,74.52780151
"2/27/1980",1980,2,27,52.37680054
"2/28/1980",1980,2,28,58.44469833
"2/29/1980",1980,2,29,76.80439758
"3/1/1980",1980,3,1,52.43149948
"3/2/1980",1980,3,2,50.80120087
"3/3/1980",1980,3,3,60.9992981
"3/4/1980",1980,3,4,68.54489899
"3/5/1980",1980,3,5,40.80319977
"3/6/1980",1980,3,6,55.68349838
"3/7/1980",1980,3,7,57.73410034
"3/8/1980",1980,3,8,71.72920227
"3/9/1980",1980,3,9,97.54129791
"3/10/1980",1980,3,10,95.26159668
"3/11/1980",1980,3,11,67.15670013
"3/12/1980",1980,3,12,32.31290054
"3/13/1980",1980,3,13,105.240303
"3/14/1980",1980,3,14,78.54370117
"3/15/1980",1980,3,15,62.96360016
"3/16/1980",1980,3,16,105.3327026
"3/17/1980",1980,3,17,107.9858017
"3/18/1980",1980,3,18,108.6527023
"3/19/1980",1980,3,19,108.743103
"3/20/1980",1980,3,20,99.10520172
"3/21/1980",1980,3,21,111.5768967
"3/22/1980",1980,3,22,115.1214981
"3/23/1980",1980,3,23,115.4313965
"3/24/1980",1980,3,24,86.51119995
"3/25/1980",1980,3,25,66.13069916
"3/26/1980",1980,3,26,92.36129761
"3/27/1980",1980,3,27,126.0628967
"3/28/1980",1980,3,28,124.142601
"3/29/1980",1980,3,29,129.5845032
"3/30/1980",1980,3,30,121.217598
"3/31/1980",1980,3,31,126.2289963
"4/1/1980",1980,4,1,128.3202057
"4/2/1980",1980,4,2,131.1670074
"4/3/1980",1980,4,3,103.427597
"4/4/1980",1980,4,4,78.4763031
"4/5/1980",1980,4,5,95.99919891
"4/6/1980",1980,4,6,94.12090302
"4/7/1980",1980,4,7,125.4125977
"4/8/1980",1980,4,8,135.4185944
"4/9/1980",1980,4,9,137.6835938
"4/10/1980",1980,4,10,143.460907
"4/11/1980",1980,4,11,147.2453003
"4/12/1980",1980,4,12,148.2915955
"4/13/1980",1980,4,13,141.5059967
"4/14/1980",1980,4,14,136.5868073
"4/15/1980",1980,4,15,149.3925934
"4/16/1980",1980,4,16,154.1950073
"4/17/1980",1980,4,17,126.4869995
"4/18/1980",1980,4,18,140.0791931
"4/19/1980",1980,4,19,145.0511017
"4/20/1980",1980,4,20,112.3121033
"4/21/1980",1980,4,21,102.0362015
"4/22/1980",1980,4,22,79.64959717
"4/23/1980",1980,4,23,78.32039642
"4/24/1980",1980,4,24,136.914093
"4/25/1980",1980,4,25,157.2957001
"4/26/1980",1980,4,26,166.1871948
"4/27/1980",1980,4,27,157.4105072
"4/28/1980",1980,4,28,104.4488983
"4/29/1980",1980,4,29,92.11260223
"4/30/1980",1980,4,30,119.0031967
"5/1/1980",1980,5,1,114.3102036
"5/2/1980",1980,5,2,157.8175049
"5/3/1980",1980,5,3,161.1322021
"5/4/1980",1980,5,4,158.8153076
"5/5/1980",1980,5,5,156.7819061
"5/6/1980",1980,5,6,158.0738068
"5/7/1980",1980,5,7,165.5209045
"5/8/1980",1980,5,8,117.3162994
"5/9/1980",1980,5,9,105.6568985
"5/10/1980",1980,5,10,108.463501
"5/11/1980",1980,5,11,115.4017029
"5/12/1980",1980,5,12,143.5227051
"5/13/1980",1980,5,13,160.4555969
"5/14/1980",1980,5,14,123.0647964
"5/15/1980",1980,5,15,170.1808014
"5/16/1980",1980,5,16,171.776001
"5/17/1980",1980,5,17,169.8240051
"5/18/1980",1980,5,18,170.5729065
"5/19/1980",1980,5,19,168.5162964
"5/20/1980",1980,5,20,157.7294006
"5/21/1980",1980,5,21,160.7765045
"5/22/1980",1980,5,22,127.9842987
"5/23/1980",1980,5,23,123.6560974
"5/24/1980",1980,5,24,127.1171036
"5/25/1980",1980,5,25,131.9297028
"5/26/1980",1980,5,26,129.8905945
"5/27/1980",1980,5,27,167.0457001
"5/28/1980",1980,5,28,168.3547058
"5/29/1980",1980,5,29,168.544693
"5/30/1980",1980,5,30,131.7111053
"5/31/1980",1980,5,31,126.009201
"6/1/1980",1980,6,1,175.2129059
"6/2/1980",1980,6,2,177.305603
"6/3/1980",1980,6,3,131.287796
"6/4/1980",1980,6,4,127.3537979
"6/5/1980",1980,6,5,171.2411957
"6/6/1980",1980,6,6,178.0126953
"6/7/1980",1980,6,7,177.0104065
"6/8/1980",1980,6,8,175.727005
"6/9/1980",1980,6,9,168.8596039
"6/10/1980",1980,6,10,171.8742981
"6/11/1980",1980,6,11,169.2917023
"6/12/1980",1980,6,12,173.2041016
"6/13/1980",1980,6,13,167.1551056
"6/14/1980",1980,6,14,167.2301941
"6/15/1980",1980,6,15,167.0388031
"6/16/1980",1980,6,16,163.6950073
"6/17/1980",1980,6,17,159.9232941
"6/18/1980",1980,6,18,159.0783997
"6/19/1980",1980,6,19,160.537796
"6/20/1980",1980,6,20,165.6654968
"6/21/1980",1980,6,21,164.9129028
"6/22/1980",1980,6,22,165.303894
"6/23/1980",1980,6,23,164.7393951
"6/24/1980",1980,6,24,160.5426025
"6/25/1980",1980,6,25,157.5995026
"6/26/1980",1980,6,26,163.5299988
"6/27/1980",1980,6,27,156.4004059
"6/28/1980",1980,6,28,152.8762054
"6/29/1980",1980,6,29,105.0772018
"6/30/1980",1980,6,30,94.97470093
"7/1/1980",1980,7,1,113.4347992
"7/2/1980",1980,7,2,90.23680115
"7/3/1980",1980,7,3,153.0460968
"7/4/1980",1980,7,4,160.4418945
"7/5/1980",1980,7,5,156.2174072
"7/6/1980",1980,7,6,148.918396
"7/7/1980",1980,7,7,154.6717072
"7/8/1980",1980,7,8,145.8610992
"7/9/1980",1980,7,9,146.0762024
"7/10/1980",1980,7,10,151.9315033
"7/11/1980",1980,7,11,145.6390076
"7/12/1980",1980,7,12,147.6448975
"7/13/1980",1980,7,13,146.6349945
"7/14/1980",1980,7,14,146.1665039
"7/15/1980",1980,7,15,142.5381012
"7/16/1980",1980,7,16,135.1846008
"7/17/1980",1980,7,17,136.2955017
"7/18/1980",1980,7,18,142.3997955
"7/19/1980",1980,7,19,138.2866058
"7/20/1980",1980,7,20,134.2559052
"7/21/1980",1980,7,21,129.7557983
"7/22/1980",1980,7,22,124.5643997
"7/23/1980",1980,7,23,126.3526993
"7/24/1980",1980,7,24,125.688797
"7/25/1980",1980,7,25,124.9237976
"7/26/1980",1980,7,26,120.8744965
"7/27/1980",1980,7,27,112.6111984
"7/28/1980",1980,7,28,111.2991028
"7/29/1980",1980,7,29,108.898201
"7/30/1980",1980,7,30,109.0298004
"7/31/1980",1980,7,31,110.0410004
"8/1/1980",1980,8,1,113.5065994
"8/2/1980",1980,8,2,120.6669998
"8/3/1980",1980,8,3,120.3813019
"8/4/1980",1980,8,4,119.3331985
"8/5/1980",1980,8,5,122.0213013
"8/6/1980",1980,8,6,123.280098
"8/7/1980",1980,8,7,115.5365982
"8/8/1980",1980,8,8,117.9953003
"8/9/1980",1980,8,9,115.2176971
"8/10/1980",1980,8,10,109.9318008
"8/11/1980",1980,8,11,112.1708984
"8/12/1980",1980,8,12,111.1977005
"8/13/1980",1980,8,13,115.5155029
"8/14/1980",1980,8,14,111.7389984
"8/15/1980",1980,8,15,110.5915985
"8/16/1980",1980,8,16,107.6681976
"8/17/1980",1980,8,17,106.1464005
"8/18/1980",1980,8,18,108.2003021
"8/19/1980",1980,8,19,105.1444016
"8/20/1980",1980,8,20,103.7171021
"8/21/1980",1980,8,21,101.8647995
"8/22/1980",1980,8,22,99.37750244
"8/23/1980",1980,8,23,101.6556015
"8/24/1980",1980,8,24,103.4541016
"8/25/1980",1980,8,25,100.7117996
"8/26/1980",1980,8,26,98.6411972
"8/27/1980",1980,8,27,101.336998
"8/28/1980",1980,8,28,102.3878021
"8/29/1980",1980,8,29,101.9595032
"8/30/1980",1980,8,30,97.37249756
"8/31/1980",1980,8,31,93.32009888
"9/1/1980",1980,9,1,89.86270142
"9/2/1980",1980,9,2,88.61239624
"9/3/1980",1980,9,3,84.24160004
"9/4/1980",1980,9,4,83.85700226
"9/5/1980",1980,9,5,80.51670074
"9/6/1980",1980,9,6,80.50730133
"9/7/1980",1980,9,7,81.51170349
"9/8/1980",1980,9,8,53.35609818
"9/9/1980",1980,9,9,81.03700256
"9/10/1980",1980,9,10,76.06749725
