"Date","Year","Month","Day","Solar Radiation (W/m^2)"
1980-01-01,1980,1,1,12.3156003952026
1980-01-02,1980,1,2,22.3134002685547
1980-01-03,1980,1,3,24.8521003723145
1980-01-04,1980,1,4,15.3107995986938
1980-01-05,1980,1,5,13.0369997024536
1980-01-06,1980,1,6,14.3695001602173
1980-01-07,1980,1,7,11.5149002075195
1980-01-08,1980,1,8,14.0047998428345
1980-01-09,1980,1,9,10.3587999343872
1980-01-10,1980,1,10,7.44019985198975
1980-01-11,1980,1,11,12.9792995452881
1980-01-12,1980,1,12,9.87310028076172
1980-01-13,1980,1,13,9.09959983825684
1980-01-14,1980,1,14,12.3944997787476
1980-01-15,1980,1,15,11.904899597168
1980-01-16,1980,1,16,10.9568004608154
1980-01-17,1980,1,17,9.77630043029785
1980-01-18,1980,1,18,2.31960010528564
1980-01-19,1980,1,19,11.9104995727539
1980-01-20,1980,1,20,13.2714996337891
1980-01-21,1980,1,21,16.1026000976562
1980-01-22,1980,1,22,23.539400100708
1980-01-23,1980,1,23,26.1627006530762
1980-01-24,1980,1,24,27.3031005859375
1980-01-25,1980,1,25,30.8798007965088
1980-01-26,1980,1,26,15.4034996032715
1980-01-27,1980,1,27,11.319299697876
1980-01-28,1980,1,28,4.89650011062622
1980-01-29,1980,1,29,-2.80539989471436
1980-01-30,1980,1,30,2.51950001716614
1980-01-31,1980,1,31,37.0164985656738
1980-02-01,1980,2,1,38.1851997375488
1980-02-02,1980,2,2,39.3871002197266
1980-02-03,1980,2,3,40.7453002929688
1980-02-04,1980,2,4,43.2905006408691
1980-02-05,1980,2,5,42.2507019042969
1980-02-06,1980,2,6,44.2414016723633
1980-02-07,1980,2,7,43.1711006164551
1980-02-08,1980,2,8,39.5550994873047
1980-02-09,1980,2,9,48.8699989318848
1980-02-10,1980,2,10,51.3419990539551
1980-02-11,1980,2,11,50.9341011047363
1980-02-12,1980,2,12,55.7200012207031
1980-02-13,1980,2,13,31.8941993713379
1980-02-14,1980,2,14,41.8081016540527
1980-02-15,1980,2,15,19.4463005065918
1980-02-16,1980,2,16,18.9150009155273
1980-02-17,1980,2,17,20.1578998565674
1980-02-18,1980,2,18,25.358699798584
1980-02-19,1980,2,19,28.0792999267578
1980-02-20,1980,2,20,13.9106998443604
1980-02-21,1980,2,21,15.3531999588013
1980-02-22,1980,2,22,15.2355003356934
1980-02-23,1980,2,23,29.638500213623
1980-02-24,1980,2,24,74.3313980102539
1980-02-25,1980,2,25,74.1620025634766
1980-02-26,1980,2,26,74.8330001831055
1980-02-27,1980,2,27,58.4599990844727
1980-02-28,1980,2,28,63.3599014282227
1980-02-29,1980,2,29,77.8276977539062
1980-03-01,1980,3,1,61.0354995727539
1980-03-02,1980,3,2,52.7027015686035
1980-03-03,1980,3,3,38.165699005127
1980-03-04,1980,3,4,29.2957992553711
1980-03-05,1980,3,5,55.1097984313965
1980-03-06,1980,3,6,23.0734996795654
1980-03-07,1980,3,7,16.3903999328613
1980-03-08,1980,3,8,23.7705001831055
1980-03-09,1980,3,9,62.211498260498
1980-03-10,1980,3,10,101.898002624512
1980-03-11,1980,3,11,76.6116027832031
1980-03-12,1980,3,12,13.7455997467041
1980-03-13,1980,3,13,109.11060333252
1980-03-14,1980,3,14,80.2826995849609
1980-03-15,1980,3,15,78.6156005859375
1980-03-16,1980,3,16,111.380302429199
1980-03-17,1980,3,17,82.5682983398438
1980-03-18,1980,3,18,81.9801025390625
1980-03-19,1980,3,19,112.930801391602
1980-03-20,1980,3,20,118.54810333252
1980-03-21,1980,3,21,119.197799682617
1980-03-22,1980,3,22,106.851196289062
