"Date","Year","Month","Day","Solar Radiation (W/m^2)"
1980-01-01,1980,1,1,7.1201000213623
1980-01-02,1980,1,2,9.09430027008057
1980-01-03,1980,1,3,7.40689992904663
1980-01-04,1980,1,4,7.46619987487793
1980-01-05,1980,1,5,8.11349964141846
1980-01-06,1980,1,6,11.0354995727539
1980-01-07,1980,1,7,12.2192001342773
1980-01-08,1980,1,8,16.7467994689941
1980-01-09,1980,1,9,9.56760025024414
1980-01-10,1980,1,10,6.74399995803833
1980-01-11,1980,1,11,10.9357995986938
1980-01-12,1980,1,12,9.03359985351562
1980-01-13,1980,1,13,8.20370006561279
1980-01-14,1980,1,14,12.3227996826172
1980-01-15,1980,1,15,13.9731998443604
1980-01-16,1980,1,16,13.9128999710083
1980-01-17,1980,1,17,18.8652992248535
1980-01-18,1980,1,18,18.6506996154785
1980-01-19,1980,1,19,18.4298992156982
1980-01-20,1980,1,20,25.7238998413086
1980-01-21,1980,1,21,28.309700012207
1980-01-22,1980,1,22,20.557300567627
1980-01-23,1980,1,23,21.9211006164551
1980-01-24,1980,1,24,24.0956001281738
1980-01-25,1980,1,25,30.9396991729736
1980-01-26,1980,1,26,25.3915004730225
1980-01-27,1980,1,27,24.6975002288818
1980-01-28,1980,1,28,9.50370025634766
1980-01-29,1980,1,29,-10.0888004302979
1980-01-30,1980,1,30,-7.00619983673096
1980-01-31,1980,1,31,32.6848983764648
1980-02-01,1980,2,1,34.0236015319824
1980-02-02,1980,2,2,33.785400390625
1980-02-03,1980,2,3,40.2285003662109
1980-02-04,1980,2,4,27.5252990722656
1980-02-05,1980,2,5,28.9976997375488
1980-02-06,1980,2,6,43.6207008361816
1980-02-07,1980,2,7,40.8785018920898
1980-02-08,1980,2,8,33.8913993835449
1980-02-09,1980,2,9,43.4893989562988
1980-02-10,1980,2,10,49.6431007385254
1980-02-11,1980,2,11,50.8963012695312
1980-02-12,1980,2,12,12.9124002456665
1980-02-13,1980,2,13,41.7672004699707
1980-02-14,1980,2,14,43.967098236084
1980-02-15,1980,2,15,24.193000793457
1980-02-16,1980,2,16,18.5844993591309
1980-02-17,1980,2,17,18.1902008056641
1980-02-18,1980,2,18,21.6809997558594
1980-02-19,1980,2,19,30.7248001098633
1980-02-20,1980,2,20,32.0508995056152
1980-02-21,1980,2,21,30.2707004547119
1980-02-22,1980,2,22,25.9820995330811
1980-02-23,1980,2,23,35.3395004272461
1980-02-24,1980,2,24,71.1232986450195
1980-02-25,1980,2,25,70.4158020019531
1980-02-26,1980,2,26,71.5567016601562
1980-02-27,1980,2,27,53.4539985656738
1980-02-28,1980,2,28,63.9914016723633
1980-02-29,1980,2,29,75.4005966186523
1980-03-01,1980,3,1,58.5932006835938
1980-03-02,1980,3,2,59.9747009277344
1980-03-03,1980,3,3,68.3348007202148
1980-03-04,1980,3,4,67.0361022949219
1980-03-05,1980,3,5,49.3897018432617
1980-03-06,1980,3,6,31.9022998809814
1980-03-07,1980,3,7,39.4342994689941
1980-03-08,1980,3,8,60.5533981323242
1980-03-09,1980,3,9,99.9511032104492
1980-03-10,1980,3,10,98.5167999267578
1980-03-11,1980,3,11,67.0139999389648
1980-03-12,1980,3,12,46.6063995361328
1980-03-13,1980,3,13,108.595596313477
1980-03-14,1980,3,14,81.8454971313477
1980-03-15,1980,3,15,70.5179977416992
1980-03-16,1980,3,16,109.222099304199
1980-03-17,1980,3,17,111.467002868652
1980-03-18,1980,3,18,111.647003173828
1980-03-19,1980,3,19,107.827697753906
1980-03-20,1980,3,20,108.031600952148
1980-03-21,1980,3,21,111.109199523926
1980-03-22,1980,3,22,100.014999389648
1980-03-23,1980,3,23,116.400901794434
1980-03-24,1980,3,24,119.678901672363
1980-03-25,1980,3,25,44.1199989318848
1980-03-26,1980,3,26,75.8167037963867
1980-03-27,1980,3,27,131.982604980469
1980-03-28,1980,3,28,126.249603271484
1980-03-29,1980,3,29,132.829299926758
1980-03-30,1980,3,30,128.581893920898
1980-03-31,1980,3,31,132.635406494141
1980-04-01,1980,4,1,132.402099609375
1980-04-02,1980,4,2,140.37190246582
1980-04-03,1980,4,3,128.072692871094
1980-04-04,1980,4,4,107.325897216797
1980-04-05,1980,4,5,89.2433013916016
1980-04-06,1980,4,6,69.7920989990234
1980-04-07,1980,4,7,138.986999511719
1980-04-08,1980,4,8,141.660095214844
1980-04-09,1980,4,9,148.874603271484
1980-04-10,1980,4,10,150.848907470703
1980-04-11,1980,4,11,150.833694458008
1980-04-12,1980,4,12,153.218795776367
1980-04-13,1980,4,13,150.720001220703
1980-04-14,1980,4,14,155.630706787109
1980-04-15,1980,4,15,155.710006713867
1980-04-16,1980,4,16,160.206802368164
1980-04-17,1980,4,17,158.891006469727
1980-04-18,1980,4,18,160.429306030273
1980-04-19,1980,4,19,160.146301269531
1980-04-20,1980,4,20,125.560699462891
1980-04-21,1980,4,21,120.398803710938
1980-04-22,1980,4,22,89.5450973510742
1980-04-23,1980,4,23,74.7459030151367
1980-04-24,1980,4,24,116.491897583008
1980-04-25,1980,4,25,135.376998901367
1980-04-26,1980,4,26,167.560394287109
1980-04-27,1980,4,27,125.738700866699
1980-04-28,1980,4,28,119.288398742676
1980-04-29,1980,4,29,110.580703735352
1980-04-30,1980,4,30,114.287902832031
1980-05-01,1980,5,1,137.461700439453
1980-05-02,1980,5,2,176.801696777344
1980-05-03,1980,5,3,179.340606689453
1980-05-04,1980,5,4,179.556701660156
1980-05-05,1980,5,5,182.907196044922
1980-05-06,1980,5,6,165.703506469727
1980-05-07,1980,5,7,182.240493774414
1980-05-08,1980,5,8,131.415298461914
1980-05-09,1980,5,9,136.298904418945
1980-05-10,1980,5,10,94.9095001220703
1980-05-11,1980,5,11,117.655097961426
1980-05-12,1980,5,12,100.142501831055
1980-05-13,1980,5,13,132.248397827148
1980-05-14,1980,5,14,129.718002319336
1980-05-15,1980,5,15,138.712905883789
1980-05-16,1980,5,16,184.996200561523
1980-05-17,1980,5,17,190.632598876953
1980-05-18,1980,5,18,190.674194335938
1980-05-19,1980,5,19,195.814407348633
1980-05-20,1980,5,20,188.672805786133
1980-05-21,1980,5,21,188.586395263672
1980-05-22,1980,5,22,189.728302001953
1980-05-23,1980,5,23,140.45719909668
1980-05-24,1980,5,24,127.701797485352
1980-05-25,1980,5,25,138.493499755859
1980-05-26,1980,5,26,150.375793457031
1980-05-27,1980,5,27,186.460494995117
1980-05-28,1980,5,28,186.794097900391
1980-05-29,1980,5,29,189.739501953125
1980-05-30,1980,5,30,151.399307250977
1980-05-31,1980,5,31,144.907699584961
1980-06-01,1980,6,1,146.968307495117
1980-06-02,1980,6,2,143.876495361328
1980-06-03,1980,6,3,140.559295654297
1980-06-04,1980,6,4,137.4833984375
1980-06-05,1980,6,5,184.626998901367
1980-06-06,1980,6,6,198.522903442383
1980-06-07,1980,6,7,197.669097900391
1980-06-08,1980,6,8,199.077499389648
1980-06-09,1980,6,9,194.341094970703
1980-06-10,1980,6,10,195.142395019531
1980-06-11,1980,6,11,193.095596313477
1980-06-12,1980,6,12,195.408401489258
1980-06-13,1980,6,13,190.245498657227
1980-06-14,1980,6,14,189.981094360352
1980-06-15,1980,6,15,195.489303588867
1980-06-16,1980,6,16,196.077697753906
1980-06-17,1980,6,17,190.94450378418
1980-06-18,1980,6,18,187.705902099609
1980-06-19,1980,6,19,191.412002563477
